Classifier,CV AUC,CV F1,CV Acc,Test AUC,Test F1,Test Acc,Test Prec,Test Rec
Ridge LR (C=0.01),0.764,0.458,0.732,0.82,0.61,0.753,0.667,0.562
AdaBoost,0.717,0.518,0.694,0.798,0.6,0.742,0.643,0.562
QDA,0.744,0.568,0.707,0.82,0.667,0.742,0.6,0.75
SVM (RBF),0.716,0.483,0.713,0.777,0.625,0.742,0.625,0.625
Gradient Boosting,0.699,0.483,0.68,0.766,0.59,0.731,0.621,0.562
Extra Trees,0.73,0.478,0.699,0.789,0.567,0.72,0.607,0.531
Gaussian NB,0.765,0.591,0.686,0.811,0.649,0.72,0.571,0.75
Decision Tree,0.618,0.504,0.642,0.64,0.542,0.71,0.593,0.5
LDA,0.751,0.534,0.713,0.821,0.63,0.71,0.561,0.719
Random Forest,0.718,0.485,0.694,0.761,0.5,0.699,0.583,0.438
KNN,0.659,0.423,0.667,0.724,0.508,0.688,0.556,0.469
Bagging,0.699,0.457,0.686,0.733,0.531,0.677,0.531,0.531
LightGBM,0.708,0.54,0.702,0.708,0.492,0.645,0.485,0.5
