Classifier,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_Acc_mean
Decision Tree,0.6175,0.039,0.5041,0.6424
Random Forest,0.7177,0.0502,0.4853,0.6938
SVM (RBF),0.7162,0.062,0.4834,0.7128
KNN,0.6589,0.0505,0.4226,0.6667
Gradient Boosting,0.699,0.0755,0.4828,0.6802
Gaussian NB,0.7651,0.0777,0.5907,0.6856
LDA,0.7506,0.0651,0.5342,0.7128
QDA,0.7437,0.0988,0.5682,0.7075
AdaBoost,0.7169,0.0642,0.518,0.6939
Extra Trees,0.7295,0.0512,0.4781,0.6991
Bagging,0.6993,0.0563,0.4571,0.6857
LightGBM,0.7081,0.0466,0.5397,0.702
